,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_year
39,Because I Got High,The Good Times,Afroman,2001-08-28,197760,69,0.802,0.169,0.341,0.0,0.0783,-8.56,0.488,166.01,4,2000
40,Absolutely (Story of a Girl) - Radio Mix,The Madding Crowd,Nine Days,2000-05-16,189333,68,0.481,0.000891,0.94,0.0,0.0939,-5.204,0.066,96.493,4,2000
41,It's Gonna Be Me,No Strings Attached,*NSYNC,2000-03-21,192426,68,0.636,0.0407,0.873,1.27e-06,0.0372,-4.672,0.071,165.071,4,2000
42,Can't Fight The Moonlight,I Need You,LeAnn Rimes,2001-01-30,215506,67,0.628,0.403,0.834,0.0,0.051,-6.341,0.0497,97.865,4,2000
43,Love Don't Cost a Thing,J.Lo,Jennifer Lopez,2001-01-23,221226,67,0.786,0.00305,0.842,3.54e-06,0.473,-5.115,0.0707,97.577,4,2000
44,Maria Maria (feat. The Product G&B),Supernatural (Remastered),Santana,1999-06-15,261973,67,0.777,0.0406,0.601,0.00201,0.0348,-5.931,0.126,97.911,4,2000
45,Lucky,Oops!... I Did It Again,Britney Spears,2000-05-16,206226,66,0.765,0.262,0.791,0.000154,0.0669,-5.707,0.0317,95.026,4,2000
46,Take A Picture,Title Of Record (Expanded Edition),Filter,1999-08-24,363800,66,0.541,0.00147,0.776,0.000221,0.178,-8.042,0.0298,98.986,4,2000
47,Breathe,Breathe,Faith Hill,1999-11-09,250546,66,0.529,0.173,0.496,0.0,0.251,-9.007,0.029,136.859,4,2000
48,Who Let The Dogs Out,Who Let The Dogs Out,Baha Men,2000,198400,66,0.869,0.0605,0.887,0.0,0.148,-4.505,0.0993,129.221,4,2000
49,I Hope You Dance,I Hope You Dance,Lee Ann Womack,2000-01-01,294533,66,0.385,0.0632,0.443,0.0,0.0898,-9.627,0.0295,151.278,4,2000
50,Try Again,Aaliyah,Aaliyah,2001-07-07,284640,66,0.794,0.0789,0.662,0.0,0.0937,-4.913,0.249,93.053,4,2000
51,This I Promise You,No Strings Attached,*NSYNC,2000-03-21,284760,66,0.55,0.354,0.587,0.0,0.128,-6.279,0.0329,165.975,4,2000
52,Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,203333,65,0.829,0.226,0.915,1.25e-05,0.246,-3.205,0.106,118.903,4,2000
53,That's the Way It Is,The Very Best of Celine Dion,Céline Dion,1999,241373,65,0.634,0.154,0.886,0.0,0.118,-5.424,0.0434,93.04,4,2000
54,Never Let You Go - 2008 Remaster,Blue,Third Eye Blind,1999-11-23,237240,65,0.728,0.0814,0.94,0.000162,0.109,-5.034,0.0368,113.76,4,2000
55,"Independent Women, Pt. 1",Survivor,Destiny's Child,2001-05-01,221133,65,0.73,0.362,0.602,3.69e-06,0.169,-3.782,0.206,97.954,4,2000
56,Aonde Quer Que Eu Vá,Arquivo II 1991 - 2000,Os Paralamas Do Sucesso,2000-01-01,257333,65,0.6,0.509,0.537,0.303,0.101,-7.972,0.0273,78.049,4,2000
